💻 Visual Studio Code Keyboard Shortcuts


| **Category**                     | **Action**              | **Windows / Linux**              | **macOS**                     | **Description**                    |
| -------------------------------- | ----------------------- | -------------------------------- | ----------------------------- | ---------------------------------- |
| 🧭 **Basic Editing**             | Cut line                | `Ctrl + X`                       | `Cmd + X`                     | Cuts entire line                   |
|                                  | Copy line               | `Ctrl + C`                       | `Cmd + C`                     | Copies entire line                 |
|                                  | Move line up/down       | `Alt + ↑ / ↓`                    | `Option + ↑ / ↓`              | Moves current line up or down      |
|                                  | Duplicate line          | `Shift + Alt + ↑ / ↓`            | `Shift + Option + ↑ / ↓`      | Copies current line above or below |
|                                  | Delete line             | `Ctrl + Shift + K`               | `Cmd + Shift + K`             | Deletes the current line           |
|                                  | Insert line below       | `Ctrl + Enter`                   | `Cmd + Enter`                 | Inserts new line below             |
|                                  | Insert line above       | `Ctrl + Shift + Enter`           | `Cmd + Shift + Enter`         | Inserts new line above             |
|                                  | Join lines              | `Ctrl + J`                       | `Cmd + J`                     | Joins current and next line        |
|                                  | Go to start of line     | `Home`                           | `Cmd + ←`                     | Moves to start of line             |
|                                  | Go to end of line       | `End`                            | `Cmd + →`                     | Moves to end of line               |
|                                  | Undo                    | `Ctrl + Z`                       | `Cmd + Z`                     | Undo last change                   |
|                                  | Redo                    | `Ctrl + Y` or `Ctrl + Shift + Z` | `Cmd + Shift + Z`             | Redo last undone change            |
| 🔍 **Search & Navigation**       | Find                    | `Ctrl + F`                       | `Cmd + F`                     | Open find box                      |
|                                  | Replace                 | `Ctrl + H`                       | `Cmd + Option + F`            | Find and replace                   |
|                                  | Find in files           | `Ctrl + Shift + F`               | `Cmd + Shift + F`             | Search across all files            |
|                                  | Go to file              | `Ctrl + P`                       | `Cmd + P`                     | Quick open files                   |
|                                  | Go to symbol            | `Ctrl + Shift + O`               | `Cmd + Shift + O`             | Jump to symbol in file             |
|                                  | Go to line              | `Ctrl + G`                       | `Cmd + G`                     | Jump to specific line number       |
